Direction,Length,Turns,Grands Prix held,Year,Race Laps,Race Dist,DistTurn1,Longst Straight,Elevation,Width,Type_bool
1,4192,13,19,2004,73,306016,250,1000,0,15,1
0,5338,14,9,2005,58,309396,250,720,46,14,1
0,5513,20,12,2019,56,308405,230.8,1180,30.9,13,1
0,5031,11,10,1989,61,306891,250,1184.6764705882354,0,12,1
0,3720,12,3,1991,81,301401,100,900,10,13,0
0,5615,18,4,2011,55,308960,250,1160,10,12,1
1,5842,15,18,2019,53,309690,450,1800,33,12,1
0,5412,18,3,2023,57,308326,450,1280,10,10,0
1,3275,18,8,1983,75,245625,250,1184.6764705882354,0,12,0
0,3650,14,2,1982,75,273750,250,1184.6764705882354,0,16,0
1,6542,13,5,1954,60,392520,250,1184.6764705882354,93,12,0
1,8302,6,11,1953,48,400694,250,2200,0,7,0
1,3186,4,1,1964,105,333500,500,1200,0,8,0
0,8300,4,1,1959,60,498000,3500,4000,0,12,0
0,3791,18,4,1973,75,284250,250,800,50,10,0
1,5278,16,27,2024,58,307574,350,300,2.6,14,0
1,5141,16,3,2011,60,307500,230,1060,10,12,1
0,3901,14,1,1984,67,261370,250,500,0,12,0
1,5245,14,1,2020,59,309457,700,1141,41,9.6,1
1,5430,10,20,1980,59,320700,400,1500,100,12,1
1,4304,17,24,2021,71,305354,890,1200,2.8,9,1
1,4428,13,7,1997,72,307404,250,600,0,11,1
1,5848,15,8,2019,53,309745,890.6,1073,1.9,13,1
1,3957,10,8,1977,80,316560,250,1200,50,12,1
0,6174,27,4,2021,50,308450,220,900,0,11,0
0,5281,16,16,2024,55,305555,305,1233,10.7,12,1
0,6003,20,8,2019,51,306051,141,2200,26.8,7.6,0
1,3886,12,6,2015,80,263120,400,1050,10,12,1
1,4563,16,4,2008,67,305461,700,1475,39,15,1
1,7004,20,57,2024,44,308052,165,1050,102.2,8,1
0,4261,13,20,1992,72,306792,250,1600,0,12,1
1,6316,6,2,1954,70,442120,1600,1900,20,12,0
1,4381,14,39,2020,70,309267,618,908,34.7,10,1
1,5891,18,59,2020,52,306198,239,770,11.3,12,1
1,5148,15,41,2020,60,308617,300,800,30,12,1
1,5793,11,74,2004,53,306720,638,1120,12.8,10,1
1,4259,14,34,2021,72,306587,215,678,7.92,8,1
1,3703,11,2,1994,67,305404,300,1200,10,12,1
1,3920,8,3,1965,85,333175,250,800,0,12,1
1,5543,15,19,2017,56,310408,683,927,22,15,1
1,3314,12,9,1980,80,272320,300,1000,0,12,1
1,4265,15,2,1970,90,383850,250,1184.6764705882354,40,11,1
1,7618,18,1,1958,53,403754,300,1000,0,10,0
0,4940,19,15,2024,62,306143,301,832,5.3,9,0
1,4657,14,34,2023,66,307236,579,1047,29.6,11,1
1,4828,12,5,1963,75,362100,400,1600,0,12,0
1,4411,16,18,2004,70,308586,250,1000,0,11,1
1,8055,38,4,1972,38,306090,250,594,60,12,0
1,4318,10,38,2020,71,306580,216.94,868,63.5,12,1
1,5419,25,5,2009,57,308883,400,876,6,12,0
1,5412,15,21,2005,57,308238,353,1090,16.9,14,1
1,5419,16,3,2024,57,308611,374,1068,3.5,12,1
